ID;DOCID;BEGINTIME;ENDTIME;BEGINTIME_P;ENDTIME_P;ENABLED;SHIFTDATE;HIDEINTALONS
71799;504;0.5;0.833333;;;1;44364;0
71800;504;0.5;0.833333;;;1;44369;0
71801;504;0.5;0.833333;;;1;44371;0
71802;504;0.5;0.833333;;;1;44376;0
71807;153;0.6875;0.791667;;;0;44368;0
71808;153;0.6875;0.791667;;;1;44375;0
71812;45;0.6875;0.833333;;;0;44364;0
71813;45;0.6875;0.833333;;;1;44371;0
71816;45;0.6875;0.833333;;;0;44365;0
71819;194;0.375;0.458333;;;0;44367;0
71820;194;0.375;0.458333;;;1;44374;0
71828;47;0.666667;0.833333;;;1;44364;0
71829;47;0.666667;0.833333;;;1;44369;0
71830;47;0.666667;0.833333;;;1;44371;0
71831;47;0.666667;0.833333;;;1;44376;0
71832;47;0.666667;0.833333;;;1;44378;0
71838;319;0.625;0.791667;;;0;44364;0
71839;319;0.625;0.791667;;;1;44369;0
71840;319;0.625;0.791667;;;1;44371;0
71841;319;0.625;0.791667;;;1;44376;0
71844;300;0.333333;0.583333;;;1;44368;0
71845;300;0.333333;0.583333;;;1;44375;0
71848;300;0.583333;0.833333;;;0;44363;0
71849;300;0.583333;0.833333;;;1;44370;0
71850;300;0.583333;0.833333;;;1;44377;0
71852;24;0.666667;0.729167;;;1;44376;0
71857;450;0.625;0.791667;;;1;44364;0
71858;450;0.625;0.791667;;;1;44371;0
71861;394;0.666667;0.833333;;;0;44363;0
71862;394;0.666667;0.833333;;;1;44370;0
71863;394;0.666667;0.833333;;;1;44377;0
71866;394;0.708333;0.833333;;;0;44364;0
71867;394;0.708333;0.833333;;;0;44371;0
71879;333;0.625;0.708333;;;1;44363;0
71880;333;0.625;0.791667;;;1;44364;0
71881;333;0.708333;0.833333;;;1;44365;0
71882;333;0.625;0.791667;;;0;44368;0
71883;333;0.625;0.791667;;;0;44369;0
71884;333;0.625;0.708333;;;1;44370;0
71885;333;0.625;0.791667;;;1;44371;0
71886;333;0.625;0.791667;;;1;44372;0
71887;333;0.625;0.791667;;;1;44375;0
71888;333;0.625;0.708333;;;1;44376;0
71889;333;0.625;0.791667;;;1;44377;0
71899;442;0.6875;0.729167;;;0;44363;0
71900;442;0.6875;0.729167;;;0;44365;0
71901;442;0.6875;0.729167;;;0;44368;0
71902;442;0.6875;0.729167;;;1;44370;0
71903;442;0.6875;0.729167;;;0;44372;0
71904;442;0.6875;0.729167;;;0;44375;0
71905;442;0.6875;0.729167;;;1;44377;0
71908;195;0.666667;0.833333;;;1;44363;0
71909;195;0.666667;0.833333;;;1;44370;0
71910;195;0.666667;0.833333;;;1;44377;0
71914;416;0.6875;0.833333;;;1;44368;0
71915;416;0.6875;0.833333;;;1;44375;0
71918;416;0.3125;0.583333;;;1;44366;0
71919;416;0.3125;0.583333;;;1;44373;0
71922;92;0.708333;0.833333;;;1;44364;0
71923;92;0.708333;0.833333;;;1;44371;0
71926;384;0.708333;0.833333;;;1;44364;0
71927;384;0.708333;0.833333;;;1;44371;0
71930;139;0.625;0.833333;;;1;44370;0
71936;396;0.666667;0.75;;;1;44365;0
71937;396;0.666667;0.75;;;1;44369;0
71938;396;0.666667;0.75;;;1;44372;0
71939;396;0.666667;0.75;;;0;44376;0
71941;396;0.416667;0.5;;;1;44367;0
71954;428;0.541667;0.645833;;;1;44363;0
71955;428;0.541667;0.645833;;;1;44364;0
71956;428;0.541667;0.645833;;;1;44365;0
71957;428;0.541667;0.645833;;;1;44368;0
71958;428;0.541667;0.645833;;;1;44369;0
71959;428;0.541667;0.645833;;;1;44370;0
71960;428;0.541667;0.645833;;;1;44371;0
71961;428;0.541667;0.645833;;;1;44372;0
71962;428;0.541667;0.645833;;;1;44375;0
71963;428;0.541667;0.645833;;;1;44376;0
71964;428;0.541667;0.645833;;;1;44377;0
71976;289;0.375;0.625;;;1;44363;0
71977;289;0.375;0.625;;;1;44364;0
71978;289;0.375;0.625;;;1;44365;0
71979;289;0.375;0.625;;;1;44368;0
71980;289;0.375;0.625;;;1;44369;0
71981;289;0.375;0.625;;;1;44370;0
71982;289;0.375;0.625;;;1;44371;0
71983;289;0.375;0.625;;;1;44372;0
71984;289;0.375;0.625;;;1;44375;0
71985;289;0.375;0.625;;;1;44376;0
71986;289;0.375;0.625;;;1;44377;0
71989;11;0.375;0.5;;;1;44367;0
71990;11;0.375;0.5;;;1;44374;0
71996;306;0.375;0.541667;;;1;44364;0
72002;11;0.6875;0.833333;;;0;44364;0
