DCODE;WORKDATE;BHOUR;BMIN;FHOUR;FMIN
10001681;2021-06-19 00:00:00.000;10;30;11;0
10000321;2021-06-17 00:00:00.000;19;0;19;30
10000321;2021-06-18 00:00:00.000;17;30;18;0
10000321;2021-06-22 00:00:00.000;19;0;19;30
10000321;2021-06-23 00:00:00.000;19;0;19;30
10001544;2021-06-24 00:00:00.000;18;30;19;0
10000054;2021-06-17 00:00:00.000;18;40;18;50
10000054;2021-06-21 00:00:00.000;19;0;19;10
10001638;2021-06-17 00:00:00.000;10;30;11;0
10000672;2021-06-21 00:00:00.000;15;0;15;30
10000644;2021-06-30 00:00:00.000;15;30;16;10
10001699;2021-06-17 00:00:00.000;13;30;14;0
10001699;2021-06-18 00:00:00.000;13;30;14;0
10001699;2021-06-19 00:00:00.000;15;30;16;0
10001699;2021-06-21 00:00:00.000;13;30;14;0
10001699;2021-06-22 00:00:00.000;13;30;14;0
10001699;2021-06-23 00:00:00.000;15;0;15;30
10001699;2021-06-24 00:00:00.000;13;30;14;0
10001699;2021-06-25 00:00:00.000;13;30;14;0
10001699;2021-06-28 00:00:00.000;15;0;15;30
10001699;2021-06-29 00:00:00.000;13;30;14;0
10001699;2021-06-30 00:00:00.000;15;0;15;30
10001773;2021-06-24 00:00:00.000;9;0;17;0
10001773;2021-06-22 00:00:00.000;9;0;17;0
10001773;2021-06-23 00:00:00.000;9;0;17;0
10001773;2021-06-30 00:00:00.000;9;0;17;0
10000633;2021-06-25 00:00:00.000;9;0;11;30
10000633;2021-06-25 00:00:00.000;11;30;13;0
10000654;2021-06-22 00:00:00.000;16;30;17;0
10000054;2021-06-25 00:00:00.000;11;0;11;45
10000672;2021-06-28 00:00:00.000;17;0;17;30
10000252;2021-06-18 00:00:00.000;11;0;11;30
10000252;2021-06-18 00:00:00.000;11;30;12;0
10001521;2021-06-18 00:00:00.000;10;30;11;0
10000089;2021-06-22 00:00:00.000;12;30;13;30
10000054;2021-06-18 00:00:00.000;11;45;12;30
10000185;2021-06-21 00:00:00.000;10;0;10;30
